creator	translator	title	genre	pages	volume	issue	date	journal title	journal subtitle	issue name	journal editor	publisher	journal location	issue length (pp)	issue height (cm)	issue width (cm)
"Pound, Ezra"		Contemporania: Dance Figure	poetry	6-Apr	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
"Pound, Ezra"		Contemporania: Salutation	poetry	6-Jun	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
"Pound, Ezra"		Contemporania: Salutation the Second	poetry	8-Jun	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
"Pound, Ezra"		Contemporania: Pax Saturni	poetry	10-Aug	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
"Pound, Ezra"		Contemporania: Commission	poetry	11-Oct	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
"Pound, Ezra"		Contemporania: A Pact	poetry	12-Nov	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
"Pound, Ezra"		Contemporania: In a Station of the Metro	poetry	12-Dec	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
"Monroe, Harriet"		Mother Earth	poetry	13-16	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
"Yeats, William Butler"		The Grey Rock	poetry	17-21	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
"Monroe, Harriet"		The New Beauty	articles	22-25	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
		"Book Review: The Vaunt of Man and Other Poems, by William Ellery Leonard"	articles	26-28	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
		"Book Review: The Roadside Fire, by Amelia Josephine Burr"	articles	28-29	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
		"Book Review: The Wife of Potiphar with Other Poems, by Harvey Maitland Watts"	articles	30-30	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
		"Book Review: In Vivid Gardens, by Marguerite Wilkinson"	articles	30-31	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
		"Book Review: The Star-Treader and Other Poems, by Clark Ashton Smith"	articles	31-32	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
		Notes	articles	32-32	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
		Books Received	articles	33-33	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
		Advertisements	advertisements	C-G	2	1	1913-04-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	42	20	14.7
"Neihardt, John G."		The Death of Agrippina	poetry	33-66	2	2	1913-05-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	62	20	14.7
"Monroe, Harriet"		Tradition	articles	67-68	2	2	1913-05-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	62	20	14.7
"Monroe, Harriet"		In Danger	articles	68-70	2	2	1913-05-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	62	20	14.7
"Henderson, Alice Corbin"		Poetic Prose and Vers Libre	articles	70-72	2	2	1913-05-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	62	20	14.7
"Pound, Ezra"		"Book Review: 'A Boy's Will' by Robert Frost. David Nutt, London"	articles	72-74	2	2	1913-05-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	62	20	14.7
"Pound, Ezra"		"Book Review: Helen Redeemed and other Poems, by Maurice Hewlett. The Macmillan Co."	articles	74-76	2	2	1913-05-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	62	20	14.7
"Henderson, Alice Corbin"		"Book Review: The Daffodil Fields, by John Masefield. The Macmillan Co."	articles	76-78	2	2	1913-05-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	62	20	14.7
		Notes	articles	78-79	2	2	1913-05-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	62	20	14.7
